Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2000,NBA,1,20,PHI,Speedy Claxton,G,us,Hofstra University,2002,2009,334,25.6,9.3,2.5,4.3,1.5,0.1,0.409,0.428,0.193,0.762,14.2,0.08
2007,NBA,1,24,PHO,Rudy Fernández,G,es,,2009,2012,249,24,9.1,2.4,2.2,1,0.2,0.399,0.463,0.36,0.84,14.2,0.114
2007,NBA,1,20,MIA,Jason Smith,F-C,us,Colorado State University,2008,2019,616,16.3,6.1,3.4,0.7,0.3,0.7,0.468,0.479,0.333,0.783,14.1,0.067
2011,NBA,1,2,MIN,Derrick Williams,F,us,University of Arizona,2012,2018,428,20.7,8.9,4,0.7,0.5,0.3,0.434,0.484,0.3,0.71,14.1,0.076
2006,NBA,1,26,LAL,Jordan Farmar,G,us,University of California Los Angeles,2007,2017,504,19.5,7.7,1.9,2.9,0.8,0.1,0.423,0.463,0.374,0.739,13.9,0.068
2009,NBA,2,44,DET,Chase Budinger,F,us,University of Arizona,2010,2016,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,0.083
2001,NBA,2,30,CHI,Trenton Hassell,G,us,Austin Peay State University,2002,2010,644,25.3,5.8,2.8,1.8,0.4,0.4,0.445,0.457,0.318,0.765,13.8,0.041
2011,NBA,2,50,PHI,Lavoy Allen,F-C,us,Temple University,2012,2017,388,17.8,4.8,4.8,1,0.3,0.6,0.471,0.474,0.133,0.682,13.8,0.096
2013,NBA,2,31,CLE,Allen Crabbe,G-F,us,University of California,2014,2019,344,24.6,9.5,2.9,1.2,0.6,0.3,0.429,0.472,0.393,0.835,13.8,0.078
2005,NBA,1,27,POR,Linas Kleiza,F,lt,University of Missouri,2006,2013,409,20,8.7,3.6,0.8,0.4,0.2,0.435,0.501,0.335,0.763,13.6,0.08
2003,NBA,2,32,LAL,Luke Walton,F,us,University of Arizona,2004,2013,564,17.2,4.7,2.8,2.3,0.6,0.2,0.429,0.459,0.326,0.715,13.5,0.067
2011,NBA,2,55,BOS,E'Twaun Moore,G-F,us,Purdue University,2012,2019,515,21.7,8,2,1.8,0.7,0.2,0.458,0.492,0.392,0.744,13.5,0.058
2013,NBA,1,20,CHI,Tony Snell,G-F,us,University of New Mexico,2014,2019,442,21.8,6.2,2.4,1,0.5,0.2,0.425,0.481,0.382,0.819,13.5,0.067
2014,NBA,2,38,DET,Spencer Dinwiddie,G,us,University of Colorado,2015,2019,253,24.4,11,2.6,4.5,0.7,0.3,0.408,0.477,0.323,0.801,13.5,0.105
2012,NBA,1,11,POR,Meyers Leonard,C-F,us,University of Illinois at Urbana-Champaign,2013,2019,393,15.5,5.6,3.7,0.9,0.2,0.3,0.479,0.542,0.385,0.828,13.4,0.106
2016,NBA,2,36,MIL,Malcolm Brogdon,G,us,University of Virginia,2017,2019,187,28.1,12.8,3.5,3.6,0.9,0.2,0.484,0.519,0.408,0.895,13.4,0.122
2000,NBA,1,7,CHI,Chris Mihm,C,us,University of Texas at Austin,2001,2009,436,20.1,7.5,5.3,0.5,0.3,1,0.459,0.46,0.231,0.704,13.3,0.073
2012,NBA,2,43,ATL,Mike Scott,F,us,University of Virginia,2013,2019,436,16.3,7.1,3.1,0.9,0.3,0.1,0.464,0.525,0.364,0.755,13.3,0.089
2014,NBA,1,10,PHI,Elfrid Payton,G,us,University of Louisiana at Lafayette,2015,2019,342,29.5,11.1,4.4,6.6,1.3,0.3,0.454,0.479,0.302,0.63,13.3,0.063
2011,NBA,2,40,MIL,Jon Leuer,F,us,University of Wisconsin,2012,2019,377,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.328,0.767,13.2,0.107
2002,NBA,1,11,WAS,Jared Jeffries,F,us,Indiana University,2003,2013,629,21.6,4.8,4.1,1.3,0.7,0.5,0.426,0.447,0.25,0.583,13.1,0.046
2013,NBA,1,17,ATL,Dennis Schröder,G,de,,2014,2019,431,24.7,13.4,2.7,4.6,0.8,0.1,0.43,0.467,0.325,0.825,13.1,0.059
2016,NBA,1,11,ORL,Domantas Sabonis,F-C,us,Gonzaga University,2017,2019,229,23.1,10.4,6.8,1.9,0.6,0.4,0.513,0.535,0.343,0.722,13.1,0.119
2002,NBA,2,31,CHI,Roger Mason,G,us,University of Virginia,2003,2014,518,17.7,6.3,1.7,1.3,0.4,0.1,0.408,0.435,0.383,0.866,13,0.068
2006,NBA,1,4,POR,Tyrus Thomas,F,us,Louisiana State University,2007,2015,402,19.7,7.7,4.8,0.9,0.8,1.3,0.438,0.44,0.235,0.732,13,0.078
2011,NBA,1,12,UTA,Alec Burks,G,us,University of Colorado,2012,2019,429,21.1,9.5,3,1.7,0.6,0.2,0.423,0.445,0.355,0.771,13,0.069
2014,NBA,1,1,CLE,Andrew Wiggins,F-G,ca,University of Kansas,2015,2019,400,36,19.4,4.3,2.2,1,0.6,0.44,0.467,0.332,0.735,13,0.044
2014,NBA,1,14,PHO,T.J. Warren,F,us,North Carolina State University,2015,2019,261,27.7,14.4,4.1,1.1,0.9,0.5,0.497,0.524,0.34,0.766,13,0.086
2003,NBA,2,41,SEA,Willie Green,G,us,University of Detroit Mercy,2004,2015,731,20.2,8.3,1.8,1.4,0.5,0.1,0.425,0.454,0.346,0.765,12.9,0.042
2011,NBA,1,17,NYK,Iman Shumpert,G,us,Georgia Institute of Technology,2012,2019,446,25.2,7.3,3.4,1.9,1.1,0.3,0.393,0.438,0.34,0.766,12.9,0.055
2001,NBA,1,8,CLE,DeSagana Diop,C,sn,,2002,2013,601,14,2,3.7,0.4,0.4,1,0.427,0.429,0.167,0.467,12.8,0.073
2013,NBA,1,26,MIN,Andre Roberson,G-F,us,University of Colorado,2014,2018,295,22.5,4.6,4,0.9,0.9,0.7,0.482,0.609,0.257,0.467,12.7,0.092
2010,NBA,1,28,MEM,Greivis Vásquez,G,ve,University of Maryland,2011,2017,401,23.7,9,2.5,4.8,0.6,0.1,0.418,0.456,0.349,0.817,12.6,0.064
2015,NBA,2,37,PHI,Richaun Holmes,F-C,us,Bowling Green State University,2016,2019,226,16.9,7.7,4.4,0.9,0.5,0.9,0.565,0.608,0.257,0.706,12.4,0.155
2008,NBA,1,27,NOH,Darrell Arthur,F,us,University of Kansas,2009,2018,503,17.8,6.5,3.5,0.8,0.6,0.6,0.444,0.46,0.352,0.765,12.3,0.066
2016,NBA,1,9,TOR,Jakob Pöltl,C,at,University of Utah,2017,2019,213,16.1,5.4,4.5,0.8,0.4,0.9,0.643,0.643,0.5,0.56,12.3,0.173
2000,NBA,1,23,UTA,DeShawn Stevenson,G,us,,2001,2013,824,22.3,7.2,2.2,1.6,0.5,0.2,0.406,0.433,0.34,0.698,12.1,0.032
2000,NBA,2,30,LAC,Marko Jari?,G,rs,,2003,2009,447,25.2,7.1,2.7,3.6,1.3,0.3,0.404,0.428,0.344,0.73,12.1,0.052
2009,NBA,1,29,LAL,Toney Douglas,G,us,Florida State University,2010,2017,394,19.1,7.6,2.2,2.3,0.9,0.1,0.404,0.448,0.354,0.824,12.1,0.077
2015,NBA,1,4,NYK,Kristaps Porzi??is,F-C,lv,,2016,2018,186,31,17.8,7.1,1.3,0.7,2,0.437,0.467,0.361,0.804,12.1,0.1
2006,NBA,2,49,DEN,Leon Powe,F,us,University of California,2007,2011,239,13.9,6.2,3.8,0.3,0.3,0.3,0.515,0.517,0,0.682,12,0.174
2016,NBA,1,7,DEN,Jamal Murray,G,ca,University of Kentucky,2017,2019,238,28.5,14.8,3.5,3.4,0.8,0.3,0.434,0.483,0.362,0.879,12,0.085
2017,NBA,1,3,BOS,Jayson Tatum,F,us,Duke University,2018,2019,159,30.8,14.8,5.5,1.9,1.1,0.7,0.461,0.487,0.4,0.84,12,0.118
2013,NBA,2,44,DAL,Mike Muscala,F-C,us,Bucknell University,2014,2019,307,15.9,5.7,3.3,0.9,0.4,0.5,0.468,0.545,0.365,0.841,11.9,0.117
2017,NBA,1,22,BRK,Jarrett Allen,C-F,us,University of Texas at Austin,2018,2019,152,23.3,9.6,7,1,0.5,1.4,0.59,0.617,0.183,0.732,11.9,0.161
2013,NBA,2,50,ATL,James Ennis,F,us,California State University Long Beach,2015,2019,278,20.6,6.5,3.2,0.9,0.6,0.3,0.457,0.536,0.357,0.793,11.7,0.098
2000,NBA,2,33,CHI,Jake Voskuhl,C,us,University of Connecticut,2001,2009,450,14.3,4,3.4,0.5,0.3,0.4,0.487,0.488,0.333,0.714,11.6,0.087
2011,NBA,1,8,DET,Brandon Knight,G,us,University of Kentucky,2012,2019,421,30.1,14.5,3.2,4,0.9,0.2,0.413,0.445,0.354,0.812,11.6,0.044
2014,NBA,1,2,MIL,Jabari Parker,F,us,Duke University,2015,2019,247,29.7,15.1,5.7,2.1,0.9,0.4,0.491,0.521,0.337,0.739,11.6,0.076
2017,NBA,1,19,ATL,John Collins,F,us,Wake Forest University,2018,2019,135,26.8,14.6,8.4,1.6,0.5,0.9,0.566,0.605,0.346,0.743,11.4,0.152
2008,NBA,1,13,POR,Brandon Rush,G-F,us,University of Kansas,2009,2017,481,22,6.8,2.9,1,0.5,0.5,0.426,0.447,0.402,0.706,11.2,0.051
2014,NBA,1,12,ORL,Dario Šari?,F,hr,,2017,2019,240,26.9,12.7,6.2,2.1,0.6,0.2,0.433,0.488,0.358,0.835,11.2,0.083
2015,NBA,1,9,CHO,Frank Kaminsky,F-C,us,University of Wisconsin,2016,2019,282,22.2,9.8,4,1.6,0.5,0.4,0.419,0.468,0.349,0.76,11,0.084
2017,NBA,1,14,MIA,Bam Adebayo,C-F,us,University of Kentucky,2018,2019,151,21.7,8,6.5,1.9,0.7,0.7,0.55,0.561,0.136,0.728,11,0.161
2001,NBA,1,7,NJN,Eddie Griffin,F-C,us,Seton Hall University,2002,2007,303,22.2,7.2,5.8,0.8,0.3,1.7,0.377,0.408,0.315,0.671,10.9,0.078
2000,NBA,1,27,IND,Primož Brezec,C,si,,2002,2010,342,18.1,7.2,3.9,0.5,0.2,0.4,0.498,0.499,0.167,0.701,10.8,0.084
2010,NBA,1,4,MIN,Wesley Johnson,F-G,us,Syracuse University,2011,2019,609,22.1,7,3.2,1.1,0.8,0.7,0.404,0.46,0.337,0.741,10.7,0.038
2010,NBA,2,35,WAS,Nemanja Bjelica,F,rs,,2016,2019,269,20.2,7.1,4.4,1.5,0.6,0.4,0.46,0.533,0.381,0.755,10.7,0.095
2001,NBA,1,15,ORL,Steven Hunter,C,us,DePaul University,2002,2010,400,15,4.5,3.2,0.2,0.1,1.1,0.56,0.56,0,0.485,10.6,0.085
2012,NBA,1,26,IND,Miles Plumlee,C-F,us,Duke University,2013,2019,346,16.4,4.9,4.5,0.5,0.4,0.7,0.542,0.542,,0.543,10.6,0.09
2014,NBA,1,11,DEN,Doug McDermott,F,us,Creighton University,2015,2019,341,19.9,7.8,2.1,0.8,0.2,0.1,0.459,0.5,0.404,0.825,10.6,0.075
2010,NBA,2,39,NYK,Landry Fields,F,us,Stanford University,2011,2015,255,23.6,6.8,4.3,1.6,0.8,0.2,0.473,0.52,0.332,0.666,10.5,0.084
2014,NBA,2,46,WAS,Jordan Clarkson,G,us,University of Missouri,2015,2019,382,27.6,14.7,3.2,2.7,0.9,0.1,0.445,0.496,0.335,0.815,10.5,0.048
2015,NBA,1,20,TOR,Delon Wright,G,us,University of Utah,2016,2019,198,19.2,7.4,2.8,2.7,1,0.4,0.445,0.495,0.332,0.796,10.5,0.132
2006,NBA,2,50,CHA,Ryan Hollins,C,us,University of California Los Angeles,2007,2016,518,11.8,3.7,2.2,0.3,0.2,0.5,0.584,0.584,0,0.649,10.4,0.081
2010,NBA,1,6,GSW,Ekpe Udoh,C-F,us,Baylor University,2011,2019,384,14.8,3.5,2.9,0.7,0.5,1.1,0.453,0.455,0,0.718,10.4,0.088
2014,NBA,2,33,CLE,Joe Harris,G,us,University of Virginia,2015,2019,262,22.6,9.4,2.8,1.5,0.4,0.2,0.475,0.539,0.427,0.797,10.4,0.085
2003,NBA,2,31,CLE,Jason Kapono,F,us,University of California Los Angeles,2004,2012,509,17.8,6.7,1.7,0.8,0.4,0,0.442,0.446,0.434,0.835,10.3,0.055
2010,NBA,1,15,MIL,Larry Sanders,C-F,us,Virginia Commonwealth University,2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.481,0,0.553,10.3,0.107
2011,NBA,2,34,WAS,Shelvin Mack,G,us,Butler University,2012,2019,456,18.4,6.6,2,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059
2012,NBA,2,32,WAS,Tomáš Satoranský,G,cz,,2017,2019,210,21.6,6.6,2.8,3.7,0.8,0.2,0.489,0.524,0.4,0.792,10.3,0.109
2015,NBA,1,30,GSW,Kevon Looney,F-C,us,University of California Los Angeles,2016,2019,204,14,4.5,3.8,1,0.5,0.6,0.595,0.611,0.192,0.593,10.3,0.172
2003,NBA,1,10,WAS,Jarvis Hayes,F,us,University of Georgia,2004,2010,427,23.2,8.3,3.1,1.1,0.7,0.1,0.415,0.444,0.356,0.798,10.2,0.049
2003,NBA,1,24,LAL,Brian Cook,F,us,University of Illinois at Urbana-Champaign,2004,2012,421,13.4,5.5,2.6,0.6,0.3,0.3,0.439,0.467,0.382,0.783,10.2,0.086
2013,NBA,1,9,MIN,Trey Burke,G,us,University of Michigan,2014,2019,361,23.6,10.9,2.1,3.6,0.6,0.1,0.408,0.445,0.34,0.8,10.2,0.058
2017,NBA,1,13,DEN,Donovan Mitchell,G,us,University of Louisville,2018,2019,156,33.6,22.1,3.9,3.9,1.4,0.4,0.434,0.483,0.351,0.805,10.2,0.094
2011,NBA,2,33,DET,Kyle Singler,F,us,Duke University,2013,2018,356,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.458,0.362,0.786,10,0.062
2016,NBA,1,6,NOP,Buddy Hield,G,bs,University of Oklahoma,2017,2019,244,26.8,14.9,4,2,0.7,0.3,0.446,0.471,0.419,0.874,10,0.073
2000,NBA,1,25,PHO,Jake Tsakalidis,C,ge,,2001,2007,315,15.9,4.8,3.9,0.3,0.2,0.7,0.49,0.49,0,0.657,9.9,0.095
2003,NBA,1,20,BOS,Dahntay Jones,G-F,us,Duke University,2004,2017,624,15.7,5.4,1.7,0.8,0.4,0.2,0.439,0.454,0.329,0.751,9.9,0.048
2006,NBA,1,5,ATL,Shelden Williams,F,us,Duke University,2007,2012,361,15.5,4.5,4.3,0.5,0.5,0.5,0.462,0.464,0.222,0.74,9.9,0.085
2015,NBA,1,16,BOS,Terry Rozier,G,us,University of Louisville,2016,2019,272,20,7.7,3.6,2.3,0.7,0.2,0.38,0.404,0.354,0.777,9.9,0.088
2015,NBA,1,13,PHO,Devin Booker,G,us,University of Kentucky,2016,2019,272,32.9,21.4,3.5,4.2,0.8,0.3,0.437,0.477,0.354,0.854,9.8,0.053
2010,NBA,1,26,OKC,Quincy Pondexter,G-F,us,University of Washington,2011,2019,355,15.6,4.5,1.8,0.7,0.3,0.1,0.423,0.475,0.356,0.746,9.7,0.084
2013,NBA,1,25,LAC,Reggie Bullock,G-F,us,University of North Carolina,2014,2019,272,19.3,6.8,2.1,1.1,0.5,0.1,0.434,0.495,0.392,0.828,9.7,0.089
2010,NBA,1,11,NOH,Cole Aldrich,C,us,University of Kansas,2011,2018,339,10,3.1,3.3,0.5,0.4,0.7,0.527,0.527,,0.738,9.6,0.135
2000,NBA,1,3,LAC,Darius Miles,F,us,,2001,2009,446,26.3,10.1,4.9,1.9,0.9,1.1,0.472,0.482,0.168,0.59,9.5,0.039
2011,NBA,2,42,IND,D?vis Bert?ns,F,lv,,2017,2019,220,16,6.2,2.3,1,0.4,0.4,0.444,0.552,0.404,0.846,9.3,0.127
2006,NBA,1,25,CLE,Shannon Brown,G,us,Michigan State University,2007,2015,408,18,7.6,1.9,1.1,0.7,0.2,0.42,0.456,0.332,0.807,9.2,0.06
2013,NBA,1,23,IND,Solomon Hill,F,us,University of Arizona,2014,2019,305,22.7,5.9,3.3,1.5,0.7,0.2,0.395,0.447,0.329,0.809,9.2,0.064
2006,NBA,1,23,NJN,Josh Boone,F-C,us,University of Connecticut,2007,2010,256,17.5,5.2,4.9,0.5,0.4,0.7,0.544,0.544,,0.445,9.1,0.097
2012,NBA,1,10,NOH,Austin Rivers,G,us,Duke University,2013,2019,484,24.6,9.2,2,2.4,0.7,0.2,0.417,0.459,0.347,0.637,9.1,0.036
2015,NBA,1,23,POR,Rondae Hollis-Jefferson,F,us,University of Arizona,2016,2019,234,23.6,9.9,5.9,2,1,0.6,0.444,0.468,0.223,0.739,9.1,0.079
2015,NBA,1,22,CHI,Bobby Portis,F,us,University of Arkansas,2016,2019,249,20.3,10.2,6.2,1.1,0.5,0.3,0.458,0.49,0.361,0.751,9,0.085
2016,NBA,1,3,BOS,Jaylen Brown,F-G,us,University of California,2017,2019,222,24.4,11.2,4,1.3,0.8,0.3,0.462,0.516,0.365,0.658,9,0.08
2002,NBA,1,15,HOU,Boštjan Nachbar,F,si,,2003,2008,317,17.8,7.1,2.6,0.9,0.4,0.3,0.406,0.433,0.375,0.784,8.7,0.074
2012,NBA,1,4,CLE,Dion Waiters,G,us,Syracuse University,2013,2019,409,28.4,13.2,2.7,2.8,0.9,0.3,0.412,0.443,0.347,0.692,8.7,0.036
2012,NBA,2,37,TOR,Quincy Acy,F-C,us,Baylor University,2013,2019,337,16,4.9,3.5,0.6,0.4,0.4,0.444,0.506,0.35,0.759,8.7,0.078
2000,NBA,2,49,MIL,Jason Hart,G,us,Syracuse University,2001,2010,341,15.5,4.8,1.7,2.3,0.7,0.1,0.417,0.433,0.315,0.788,8.6,0.078
2002,NBA,2,42,MIL,Ronald Murray,G,us,Shaw University,2003,2010,487,22.7,9.9,2.1,2.3,0.8,0.2,0.414,0.45,0.304,0.725,8.5,0.037
2013,NBA,1,14,UTA,Shabazz Muhammad,F-G,us,University of California Los Angeles,2014,2018,278,17.2,9,2.8,0.5,0.3,0.1,0.473,0.51,0.319,0.751,8.5,0.085
2015,NBA,1,24,CLE,Tyus Jones,G,us,Duke University,2016,2019,247,17.7,5.1,1.5,3.3,1,0.1,0.419,0.464,0.333,0.819,8.4,0.092
2014,NBA,1,9,CHH,Noah Vonleh,F,us,Indiana University,2015,2019,299,17.7,5.1,5.4,0.8,0.4,0.4,0.453,0.491,0.316,0.683,8.3,0.075
2015,NBA,1,15,ATL,Kelly Oubre,F,us,University of Kansas,2016,2019,292,22.1,9.4,3.7,0.8,0.8,0.4,0.424,0.5,0.321,0.778,8.3,0.062
2015,NBA,1,19,WAS,Jerian Grant,G,us,University of Notre Dame,2016,2019,273,18,6.1,1.9,2.9,0.7,0.1,0.412,0.465,0.324,0.771,8.3,0.081
2000,NBA,1,29,LAL,Mark Madsen,F,us,Stanford University,2001,2009,453,11.8,2.2,2.6,0.4,0.3,0.2,0.457,0.465,0.063,0.527,8.2,0.074
2010,NBA,2,55,UTA,Jeremy Evans,F,us,Western Kentucky University,2011,2018,250,10.5,3.5,2.6,0.4,0.4,0.5,0.569,0.583,0.231,0.687,8.2,0.15
2015,NBA,1,12,UTA,Trey Lyles,F,ca,University of Kentucky,2016,2019,288,17.5,7.6,3.9,1.1,0.4,0.3,0.431,0.495,0.331,0.705,8.1,0.077
2014,NBA,1,13,MIN,Zach LaVine,G,us,University of California Los Angeles,2015,2019,293,29.9,16.1,3.4,3.5,0.8,0.2,0.446,0.481,0.373,0.824,8,0.044
2003,NBA,1,9,NYK,Mike Sweetney,F,us,Georgetown University,2004,2007,233,15.5,6.5,4.5,0.6,0.3,0.5,0.485,0.485,0,0.689,7.8,0.103
2005,NBA,1,16,TOR,Joey Graham,F,us,Oklahoma State University,2006,2011,377,16.2,5.9,2.8,0.5,0.4,0.1,0.483,0.503,0.3,0.815,7.8,0.061
2015,NBA,1,10,MIA,Justise Winslow,F,us,Duke University,2016,2019,230,28.2,8.9,5.3,2.7,1,0.4,0.419,0.448,0.343,0.644,7.8,0.057
2015,NBA,2,35,PHI,Willy Hernangómez,C,es,,2017,2019,178,14.8,7,5.6,1.1,0.4,0.4,0.53,0.543,0.364,0.696,7.8,0.142
2001,NBA,2,35,NJN,Brian Scalabrine,F,us,University of Southern California,2002,2012,520,13,3.1,2,0.8,0.3,0.2,0.39,0.415,0.344,0.783,7.6,0.054
2008,NBA,1,20,CHA,Alexis Ajinça,C-F,fr,,2009,2017,293,13.3,5.3,3.9,0.5,0.3,0.6,0.503,0.51,0.286,0.797,7.5,0.093
2007,NBA,1,1,POR,Greg Oden,C,us,Ohio State University,2009,2014,105,19.3,8,6.2,0.5,0.4,1.2,0.574,0.574,,0.658,7.3,0.174
2015,NBA,2,46,MIL,Norman Powell,G,us,University of California Los Angeles,2016,2019,255,16.8,7.1,2.1,1.2,0.6,0.2,0.442,0.51,0.345,0.807,7.3,0.082
2006,NBA,1,20,NYK,Renaldo Balkman,F,us,University of South Carolina,2007,2012,221,13.9,4,3.5,0.6,0.7,0.5,0.51,0.543,0.172,0.542,7.2,0.113
2010,NBA,1,16,MIN,Luke Babbitt,F,us,University of Nevada Reno,2011,2018,381,14,4.8,2.2,0.6,0.2,0.2,0.408,0.417,0.402,0.747,7.2,0.065
2003,NBA,1,2,DET,Darko Mili?i?,F-C,rs,,2004,2013,468,18.5,6,4.2,0.9,0.4,1.3,0.46,0.461,0,0.574,7.1,0.04
2011,NBA,1,20,MIN,Donatas Motiej?nas,F-C,lt,,2013,2019,251,18.2,7.3,3.8,1.1,0.5,0.3,0.469,0.529,0.3,0.597,7.1,0.075
2003,NBA,1,19,UTA,Sasha Pavlovi?,G-F,me,,2004,2013,567,15.7,4.9,1.8,0.9,0.5,0.2,0.404,0.433,0.346,0.673,7,0.038
2017,NBA,1,27,BRK,Kyle Kuzma,F,us,University of Utah,2018,2019,147,32.1,17.3,5.9,2.2,0.6,0.4,0.453,0.533,0.335,0.731,7,0.071
2013,NBA,2,39,POR,Jeff Withey,C,us,University of Kansas,2014,2018,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
2015,NBA,2,41,BRK,Pat Connaughton,G,us,University of Notre Dame,2016,2019,216,14.9,4.6,2.3,1.2,0.3,0.2,0.439,0.544,0.349,0.796,6.8,0.101
2006,NBA,1,17,IND,Shawne Williams,F,us,University of Memphis,2007,2015,314,17.1,5.6,3,0.7,0.4,0.5,0.403,0.469,0.339,0.755,6.7,0.06
2003,NBA,1,13,MEM,Marcus Banks,G,us,University of Nevada Las Vegas,2004,2011,348,16,5.9,1.5,2.1,0.8,0.2,0.432,0.462,0.327,0.768,6.6,0.057
2015,NBA,1,2,LAL,D'Angelo Russell,G,us,Ohio State University,2016,2019,272,28.5,16.5,3.7,5.1,1.2,0.2,0.419,0.465,0.353,0.762,6.6,0.041
2005,NBA,1,9,GSW,Ike Diogu,F,us,Arizona State University,2006,2012,225,12.4,6,3.1,0.3,0.2,0.3,0.509,0.509,0.5,0.786,6.5,0.112
2000,NBA,1,6,ATL,DerMarr Johnson,F,us,University of Cincinnati,2001,2008,344,17.2,6.2,2.2,0.9,0.6,0.4,0.411,0.469,0.336,0.789,6.4,0.052
2014,NBA,1,24,CHH,Shabazz Napier,G,us,University of Connecticut,2015,2019,289,16.1,6.4,1.7,2,0.8,0.1,0.393,0.429,0.354,0.812,6.4,0.066
2017,NBA,2,51,DEN,Monte Morris,G,us,Iowa State University,2018,2019,85,23.5,10.1,2.3,3.6,0.9,0,0.494,0.533,0.412,0.807,6.4,0.153
2009,NBA,2,31,SAC,Jeff Ayres,F,us,Arizona State University,2010,2016,237,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,0.131
2010,NBA,1,27,NJN,Jordan Crawford,G,us,Xavier University,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,0.411,0.458,0.317,0.826,6.3,0.044
2002,NBA,1,22,PHO,Casey Jacobsen,G-F,us,Stanford University,2003,2008,287,18.5,5.2,1.8,1.1,0.4,0.1,0.393,0.433,0.352,0.769,6.2,0.056
2006,NBA,1,16,CHI,Rodney Carney,F,us,University of Memphis,2007,2011,299,15.4,5.9,2,0.4,0.5,0.3,0.422,0.471,0.338,0.704,6.2,0.064
2007,NBA,2,49,CHI,Aaron Gray,C,us,University of Pittsburgh,2008,2014,318,12.1,3.4,3.7,0.7,0.3,0.3,0.509,0.511,0,0.562,6.2,0.077
2002,NBA,1,17,WAS,Juan Dixon,G,us,University of Maryland,2003,2009,436,19.5,8.4,1.9,1.8,0.8,0.1,0.413,0.442,0.341,0.833,6.1,0.034
2007,NBA,1,14,LAC,Al Thornton,F,us,Florida State University,2008,2011,296,28,11.9,4.2,1.2,0.6,0.5,0.452,0.467,0.293,0.747,6.1,0.035
2017,NBA,1,7,MIN,Lauri Markkanen,F-C,fi,University of Arizona,2018,2019,120,30.9,16.7,8.2,1.3,0.6,0.6,0.432,0.488,0.362,0.859,6.1,0.079
2018,NBA,2,36,NYK,Mitchell Robinson,C,us,,2019,2019,66,20.6,7.3,6.4,0.6,0.8,2.4,0.694,0.694,,0.6,6.1,0.217
2013,NBA,1,16,BOS,Lucas Nogueira,C,br,,2015,2018,141,12.4,3.2,2.8,0.5,0.6,1,0.632,0.681,0.265,0.64,6,0.165
2002,NBA,1,28,SAC,Dan Dickau,G,us,Gonzaga University,2003,2008,300,15.4,5.8,1.4,2.5,0.5,0,0.401,0.432,0.341,0.831,5.9,0.061
2010,NBA,1,17,CHI,Kevin Séraphin,F,gf,,2011,2017,423,15.2,5.9,3.5,0.6,0.2,0.7,0.489,0.491,0,0.715,5.9,0.044
2012,NBA,1,30,GSW,Festus Ezeli,C,ng,Vanderbilt University,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,,0.557,5.9,0.119
2012,NBA,2,46,NOH,Darius Miller,F,us,University of Kentucky,2013,2019,253,20.4,6,1.7,1.4,0.4,0.2,0.418,0.495,0.382,0.83,5.9,0.055
2008,NBA,1,14,GSW,Anthony Randolph,F,de,Louisiana State University,2009,2014,252,15.2,7.1,4.3,0.7,0.6,0.9,0.453,0.466,0.241,0.74,5.8,0.072
2016,NBA,1,20,IND,Caris LeVert,G-F,us,University of Michigan,2017,2019,168,24.8,11.1,3.6,3.4,1,0.3,0.437,0.499,0.329,0.707,5.8,0.066
2018,NBA,1,1,PHO,Deandre Ayton,C,bs,University of Arizona,2019,2019,71,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0.588,0,0.746,5.8,0.128
2002,NBA,1,16,PHI,Ji?í Welsch,G,cz,,2003,2006,247,18.6,6.1,2.4,1.5,0.8,0.1,0.403,0.425,0.343,0.752,5.7,0.059
2005,NBA,2,38,ORL,Travis Diener,G,us,Marquette University,2006,2010,179,14.9,4.8,1.4,2.4,0.4,0.1,0.388,0.442,0.353,0.847,5.6,0.102
2014,NBA,1,27,PHO,Bogdan Bogdanovi?,G,rs,,2018,2019,148,27.9,12.9,3.1,3.5,1,0.2,0.431,0.473,0.375,0.833,5.6,0.065
2017,NBA,2,42,UTA,Thomas Bryant,C,us,Indiana University,2018,2019,87,18,9,5.4,1.1,0.3,0.8,0.606,0.684,0.312,0.767,5.6,0.172
2005,NBA,1,25,SEA,Johan Petro,C,fr,,2006,2013,473,15.4,4.7,3.9,0.5,0.4,0.5,0.462,0.464,0.154,0.678,5.5,0.037
2017,NBA,1,30,UTA,Josh Hart,G,us,Villanova University,2018,2019,130,24.4,7.9,3.9,1.3,0.9,0.4,0.435,0.53,0.361,0.695,5.5,0.083
